level,target_grade,old_difficulty_coef,new_difficulty_coef,old_recommended_power,new_recommended_power,old_expected_star,new_expected_star,old_mob_hp_share,new_mob_hp_share,old_boss_hp_share,new_boss_hp_share,old_line_expected_breach,new_line_expected_breach,median_progress_pct,median_base_pct,worst_seed_base_pct,median_duration_s,median_boss_phase_s,wins
61,light_pressure,4.1307,11.5,338,338,3,3,1.0,1.0,0.0,0.0,184.05,69.55,49.894,100.0,96.372,99.567,0.0,10
62,light_pressure,2.6785,10.5,458,458,2,3,1.0,1.0,0.0,0.0,281.15,69.55,75.02,100.0,98.187,105.867,0.0,10
63,light_pressure,3.3996,9.4,359,359,3,3,1.0,1.0,0.0,0.0,189.8,64.3,62.369,100.0,100.0,108.842,0.0,10
64,light_pressure,2.7357,13.0,496,496,2,3,1.0,1.0,0.0,0.0,336.2,63.8,62.484,100.0,100.0,123.883,0.0,10
65,pressure,2.2687,3.0,583,583,2,3,0.7145,0.2448,0.2855,0.7552,490.74,71.22,95.42,75.796,63.015,147.558,60.583,10
66,pressure,2.0223,26.0,592,592,2,3,1.0,1.0,0.0,0.0,367.5,48.8,97.816,90.226,70.959,127.367,0.0,10
67,pressure,3.5898,27.0,438,438,3,3,1.0,1.0,0.0,0.0,203.9,82.6,86.486,87.639,34.294,133.725,0.0,10
68,pressure,4.3266,67.0,505,505,2,3,1.0,1.0,0.0,0.0,269.7,70.35,84.929,89.184,9.808,214.133,0.0,10
69,pressure,3.0439,21.0,597,597,2,3,1.0,1.0,0.0,0.0,304.4,84.7,89.314,88.542,58.514,149.842,0.0,10
70,high,3.337,7.5,725,725,2,2,0.2224,0.4476,0.7776,0.5524,493.72,150.72,97.641,60.717,54.122,128.842,56.408,10
71,light_pressure,3.0213,15.0,774,774,2,3,1.0,1.0,0.0,0.0,436.9,65.7,66.783,100.0,100.0,121.533,0.0,10
72,light_pressure,2.5539,15.0,749,749,2,3,1.0,1.0,0.0,0.0,409.95,44.25,76.986,100.0,99.396,80.217,0.0,10
