level_id,wins,runs,worst_seed,worst_base_pct,median_base_pct,median_progress_pct,median_boss_phase_seconds,median_duration_seconds,blade_edge_lt_10pct
level_061,10,10,8807,96.37,100.00,49.89,,99.57,no
level_062,10,10,3301,98.19,100.00,75.02,,105.87,no
level_063,10,10,1103,100.00,100.00,62.37,,108.84,no
level_064,10,10,1103,100.00,100.00,62.48,,123.88,no
level_065,10,10,1103,63.01,75.80,95.42,60.58,147.56,no
level_066,10,10,4409,70.96,90.23,97.82,,127.37,no
level_067,10,10,4409,34.29,87.64,86.49,,133.72,no
level_068,10,10,6607,9.81,89.18,84.93,,214.13,yes
level_069,10,10,9901,58.51,88.54,89.31,,149.84,no
level_070,10,10,5501,54.12,60.72,97.64,56.41,128.84,no
level_071,10,10,1103,100.00,100.00,66.78,,121.53,no
level_072,10,10,3301,99.40,100.00,76.99,,80.22,no
level_073,10,10,1103,100.00,100.00,58.98,,105.72,no
level_074,10,10,8807,52.83,92.78,83.38,,147.62,no
level_075,10,10,4409,26.29,66.87,98.50,78.84,185.13,no
level_076,10,10,6607,77.61,91.19,83.55,,159.24,no
level_077,10,10,11113,46.57,81.09,86.32,,149.38,no
level_078,10,10,6607,27.54,77.21,83.14,,168.89,no
level_079,10,10,8807,79.92,89.85,87.14,,129.63,no
level_080,10,10,6607,5.18,62.01,100.00,74.54,156.49,yes
level_081,10,10,11113,98.47,100.00,63.21,,112.82,no
level_082,10,10,11113,74.16,100.00,85.18,,120.32,no
level_083,10,10,6607,73.84,89.26,96.02,,141.73,no
level_084,10,10,8807,34.28,94.35,84.99,,133.78,no
level_085,10,10,8807,11.07,43.53,100.00,98.37,196.93,no
level_086,10,10,11113,60.85,85.64,92.73,,151.40,no
level_087,10,10,3301,60.25,87.92,85.79,,143.69,no
level_088,10,10,7703,84.89,94.36,91.91,,125.57,no
level_089,10,10,1103,33.29,98.93,46.24,,76.18,no
level_090,10,10,5501,43.33,52.99,100.00,100.48,126.26,no
level_091,10,10,1103,100.00,100.00,57.57,,88.97,no
level_092,10,10,4409,39.59,92.47,100.00,,136.58,no
level_093,10,10,7703,75.88,95.13,88.98,,143.53,no
level_094,10,10,3301,59.99,92.74,91.38,,130.14,no
level_095,10,10,8807,1.41,32.17,100.00,147.31,191.76,yes
level_096,10,10,3301,71.63,95.03,82.13,,165.23,no
level_097,10,10,4409,77.18,89.63,84.78,,119.62,no
level_098,10,10,11113,86.43,93.25,92.94,,159.70,no
level_099,10,10,8807,6.55,58.62,100.00,153.37,228.65,yes
