level,old_build,new_build,old_skills,new_skills,old_gold_before,new_gold_before,old_gold_earned,new_gold_earned,old_xp_before,new_xp_before,old_xp_earned,new_xp_earned,old_stars_before,new_stars_before,build_changed
001,char=vanguard@1;weapon=weapon_autocannon@1;armor=none@1;chip=none@1;pet=none@1;sig=0,char=vanguard@1;weapon=weapon_autocannon@1;armor=none@1;chip=none@1;pet=none@1;sig=0,,,0,0,474,474,0,0,249,249,0,0,no
002,char=vanguard@2;weapon=weapon_autocannon@3;armor=none@1;chip=none@1;pet=none@1;sig=0,char=vanguard@2;weapon=weapon_autocannon@3;armor=none@1;chip=none@1;pet=none@1;sig=0,,,59,59,668,668,249,249,403,403,2,2,no
003,char=vanguard@3;weapon=weapon_autocannon@4;armor=none@1;chip=none@1;pet=none@1;sig=0,char=vanguard@3;weapon=weapon_autocannon@4;armor=none@1;chip=none@1;pet=none@1;sig=0,skill_multishot:1,skill_multishot:1,241,241,746,746,302,302,376,376,4,4,no
004,char=vanguard@4;weapon=weapon_autocannon@5;armor=none@1;chip=none@1;pet=none@1;sig=0,char=vanguard@4;weapon=weapon_autocannon@5;armor=none@1;chip=none@1;pet=none@1;sig=0,skill_multishot:1|skill_pierce:1,skill_multishot:1|skill_pierce:1,329,329,886,886,328,328,458,458,6,6,no
005,char=vanguard@4;weapon=weapon_autocannon@6;armor=none@1;chip=none@1;pet=none@1;sig=0,char=vanguard@4;weapon=weapon_autocannon@6;armor=none@1;chip=none@1;pet=none@1;sig=0,skill_barrier:1|skill_homing:1|skill_multishot:1|skill_pierce:1,skill_barrier:1|skill_homing:1|skill_multishot:1|skill_pierce:1,349,349,1015,1015,86,86,443,443,0,0,no
006,char=vanguard@5;weapon=weapon_autocannon@7;armor=none@1;chip=none@1;pet=none@1;sig=0,char=vanguard@5;weapon=weapon_autocannon@7;armor=none@1;chip=none@1;pet=none@1;sig=0,skill_barrier:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1,skill_barrier:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1,33,33,1181,1181,179,179,516,516,2,2,no
007,char=vanguard@5;weapon=weapon_autocannon@8;armor=none@1;chip=none@1;pet=none@1;sig=0,char=vanguard@5;weapon=weapon_autocannon@8;armor=none@1;chip=none@1;pet=none@1;sig=0,skill_barrier:1|skill_charge_shot:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1,skill_barrier:1|skill_charge_shot:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1,136,136,1170,1170,345,345,468,468,4,4,no
008,char=vanguard@5;weapon=weapon_autocannon@9;armor=none@1;chip=none@1;pet=none@1;sig=1,char=vanguard@5;weapon=weapon_autocannon@9;armor=none@1;chip=none@1;pet=none@1;sig=1,skill_barrier:1|skill_charge_shot:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1|skill_slow_field:1,skill_barrier:1|skill_charge_shot:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1|skill_slow_field:1,32,32,1521,1521,13,13,610,610,6,6,no
009,char=vanguard@5;weapon=weapon_autocannon@10;armor=armor_kevlar@4;chip=none@1;pet=none@1;sig=1,char=vanguard@5;weapon=weapon_autocannon@10;armor=armor_kevlar@4;chip=none@1;pet=none@1;sig=1,skill_barrier:1|skill_charge_shot:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,skill_barrier:1|skill_charge_shot:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,306,306,1234,1234,273,273,392,392,0,0,no
010,char=vanguard@6;weapon=weapon_autocannon@11;armor=armor_kevlar@4;chip=none@1;pet=none@1;sig=1,char=vanguard@6;weapon=weapon_autocannon@11;armor=armor_kevlar@4;chip=none@1;pet=none@1;sig=1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,259,259,1850,1850,315,315,690,690,2,2,no
011,char=vanguard@6;weapon=weapon_autocannon@12;armor=armor_kevlar@5;chip=none@1;pet=none@1;sig=1,char=vanguard@6;weapon=weapon_autocannon@12;armor=armor_kevlar@5;chip=none@1;pet=none@1;sig=1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:1|skill_pierce:1|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,143,143,1814,1814,655,655,596,596,4,4,no
012,char=vanguard@7;weapon=weapon_autocannon@13;armor=armor_kevlar@5;chip=none@1;pet=none@1;sig=1,char=vanguard@7;weapon=weapon_autocannon@13;armor=armor_kevlar@5;chip=none@1;pet=none@1;sig=1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:2|skill_pierce:1|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:2|skill_pierce:1|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,435,435,1958,1958,351,351,665,665,6,6,no
013,char=vanguard@7;weapon=weapon_autocannon@14;armor=armor_kevlar@6;chip=none@1;pet=none@1;sig=1,char=vanguard@7;weapon=weapon_autocannon@14;armor=armor_kevlar@6;chip=none@1;pet=none@1;sig=1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,80,80,2089,2089,116,116,617,617,8,8,no
014,char=vanguard@7;weapon=weapon_autocannon@15;armor=armor_kevlar@6;chip=none@1;pet=none@1;sig=1,char=vanguard@7;weapon=weapon_autocannon@15;armor=armor_kevlar@6;chip=none@1;pet=none@1;sig=1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:1|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,241,241,2168,2168,733,733,651,651,1,1,no
015,char=vanguard@7;weapon=weapon_scattergun@6;armor=armor_kevlar@6;chip=none@1;pet=none@1;sig=1,char=vanguard@7;weapon=weapon_scattergun@6;armor=armor_kevlar@6;chip=none@1;pet=none@1;sig=1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,skill_barrier:1|skill_charge_shot:1|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,87,87,2453,2453,484,484,745,745,3,3,no
016,char=vanguard@8;weapon=weapon_scattergun@8;armor=armor_kevlar@6;chip=none@1;pet=none@1;sig=1,char=vanguard@8;weapon=weapon_scattergun@8;armor=armor_kevlar@6;chip=none@1;pet=none@1;sig=1,skill_barrier:2|skill_charge_shot:1|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,skill_barrier:2|skill_charge_shot:1|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:1|skill_slow_field:1|skill_split_shot:1,40,40,2725,2725,329,329,815,815,5,5,no
017,char=vanguard@8;weapon=weapon_scattergun@9;armor=armor_kevlar@7;chip=none@1;pet=none@1;sig=1,char=vanguard@8;weapon=weapon_scattergun@9;armor=armor_kevlar@7;chip=none@1;pet=none@1;sig=1,skill_barrier:2|skill_charge_shot:1|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:1|skill_split_shot:1,skill_barrier:2|skill_charge_shot:1|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:1|skill_split_shot:1,123,123,2759,2759,244,244,810,810,7,7,no
018,char=vanguard@9;weapon=weapon_scattergun@10;armor=armor_kevlar@8;chip=none@1;pet=none@1;sig=1,char=vanguard@9;weapon=weapon_scattergun@10;armor=armor_kevlar@8;chip=none@1;pet=none@1;sig=1,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:1|skill_split_shot:1,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:1|skill_split_shot:1,241,241,2289,2289,154,154,521,521,9,9,no
