level,old_star,new_star,delta,old_source,new_median_base_pct
001,3,3,0,fixed_frame,100.0000
002,3,3,0,fixed_frame,100.0000
003,3,3,0,fixed_frame,100.0000
004,3,3,0,fixed_frame,100.0000
005,3,3,0,fixed_frame,100.0000
006,3,3,0,fixed_frame,100.0000
007,3,3,0,fixed_frame,100.0000
008,3,3,0,fixed_frame,100.0000
009,3,3,0,fixed_frame,100.0000
010,3,3,0,fixed_frame,100.0000
011,3,3,0,fixed_frame,100.0000
012,3,3,0,fixed_frame,100.0000
013,3,3,0,fixed_frame,100.0000
014,3,3,0,fixed_frame,100.0000
015,3,3,0,fixed_frame,100.0000
016,3,3,0,fixed_frame,100.0000
017,3,3,0,fixed_frame,100.0000
018,3,3,0,fixed_frame,100.0000
019,3,3,0,fixed_frame,100.0000
020,3,3,0,fixed_frame,100.0000
021,3,3,0,fixed_frame,100.0000
022,3,3,0,fixed_frame,100.0000
023,3,3,0,fixed_frame,100.0000
024,3,3,0,fixed_frame,100.0000
025,3,3,0,fixed_frame,100.0000
026,3,3,0,fixed_frame,100.0000
027,3,3,0,fixed_frame,100.0000
028,3,3,0,fixed_frame,100.0000
029,3,3,0,fixed_frame,100.0000
030,3,3,0,fixed_frame,92.7492
031,3,3,0,fixed_frame,100.0000
032,3,3,0,fixed_frame,100.0000
033,3,3,0,fixed_frame,100.0000
034,3,3,0,fixed_frame,100.0000
035,3,3,0,fixed_frame,100.0000
036,3,3,0,fixed_frame,100.0000
037,3,3,0,fixed_frame,100.0000
038,3,3,0,fixed_frame,100.0000
039,3,3,0,fixed_frame,100.0000
040,3,3,0,fixed_frame,90.5455
041,2,3,1,wave_fixture,100.0000
042,2,3,1,wave_fixture,100.0000
043,2,3,1,wave_fixture,100.0000
044,2,3,1,wave_fixture,100.0000
045,2,3,1,wave_fixture,100.0000
046,2,3,1,wave_fixture,100.0000
047,2,3,1,wave_fixture,100.0000
048,2,3,1,wave_fixture,100.0000
049,3,3,0,wave_fixture,100.0000
050,2,3,1,wave_fixture,83.8369
051,3,3,0,fixed_frame,100.0000
052,3,3,0,fixed_frame,100.0000
053,3,3,0,fixed_frame,100.0000
054,3,3,0,fixed_frame,100.0000
055,3,3,0,fixed_frame,79.8221
056,3,3,0,fixed_frame,100.0000
057,3,3,0,fixed_frame,92.6626
058,3,3,0,fixed_frame,88.3001
059,3,3,0,fixed_frame,94.0714
060,3,3,0,fixed_frame,86.9742
061,3,3,0,fixed_frame,100.0000
062,3,3,0,fixed_frame,100.0000
063,3,3,0,fixed_frame,100.0000
064,3,3,0,fixed_frame,100.0000
065,3,3,0,fixed_frame,76.0684
066,3,3,0,fixed_frame,88.5906
067,3,3,0,fixed_frame,87.1090
068,3,3,0,fixed_frame,79.8350
069,3,3,0,fixed_frame,88.5417
070,2,2,0,fixed_frame,60.4520
071,3,3,0,fixed_frame,100.0000
072,3,3,0,fixed_frame,100.0000
073,3,3,0,fixed_frame,100.0000
074,3,3,0,fixed_frame,92.7848
075,2,2,0,fixed_frame,65.8600
076,3,3,0,fixed_frame,85.3678
077,3,3,0,fixed_frame,80.6800
078,3,3,0,fixed_frame,77.2077
079,3,3,0,fixed_frame,81.8574
080,2,3,1,fixed_frame,82.1668
081,3,3,0,fixed_frame,100.0000
082,3,3,0,fixed_frame,100.0000
083,3,3,0,fixed_frame,95.7467
084,3,3,0,fixed_frame,100.0000
085,2,3,1,fixed_frame,85.3846
086,3,3,0,fixed_frame,85.6412
087,3,3,0,fixed_frame,87.9230
088,3,3,0,fixed_frame,90.1038
089,3,3,0,fixed_frame,99.8911
090,2,2,0,fixed_frame,36.2567
091,3,3,0,fixed_frame,100.0000
092,3,3,0,fixed_frame,92.4662
093,3,3,0,fixed_frame,96.2175
094,3,3,0,fixed_frame,96.7340
095,1,3,2,fixed_frame,87.9407
096,3,3,0,fixed_frame,95.0258
097,3,3,0,fixed_frame,90.8597
098,3,3,0,fixed_frame,93.2531
099,2,3,1,fixed_frame,98.7079
