level,new_star,new_median_base_pct,wins,runs
001,3,100.0000,10,10
002,3,100.0000,10,10
003,3,100.0000,10,10
004,3,100.0000,10,10
005,3,100.0000,10,10
006,3,100.0000,10,10
007,3,100.0000,10,10
008,3,100.0000,10,10
009,3,100.0000,10,10
010,3,100.0000,10,10
011,3,100.0000,10,10
012,3,100.0000,10,10
013,3,100.0000,10,10
014,3,100.0000,10,10
015,3,100.0000,9,10
016,3,100.0000,10,10
017,3,92.2179,7,10
018,0,0.0000,3,10
019,0,0.0000,4,10
020,2,47.2242,6,10
021,3,100.0000,10,10
022,3,100.0000,10,10
023,3,100.0000,10,10
024,3,78.3811,10,10
025,3,91.8966,10,10
026,3,97.2689,10,10
027,2,61.1910,10,10
028,3,100.0000,10,10
029,3,100.0000,10,10
030,1,15.5050,7,10
031,3,100.0000,10,10
032,3,100.0000,7,10
033,3,100.0000,10,10
034,0,50.0000,5,10
035,3,99.4878,10,10
036,3,100.0000,10,10
037,3,98.6667,10,10
038,3,99.7778,7,10
039,1,16.8850,6,10
040,1,9.1220,6,10
041,3,100.0000,10,10
042,3,100.0000,10,10
043,3,100.0000,9,10
044,3,72.8155,7,10
045,3,93.9394,10,10
046,3,100.0000,10,10
047,3,100.0000,10,10
048,3,100.0000,10,10
049,3,86.7008,10,10
050,2,69.9396,10,10
051,3,100.0000,10,10
052,3,100.0000,10,10
053,3,100.0000,10,10
054,3,100.0000,10,10
055,3,78.4332,10,10
056,3,100.0000,10,10
057,3,86.6484,10,10
058,3,91.5401,9,10
059,3,95.3830,10,10
060,3,90.6351,10,10
061,3,100.0000,10,10
062,3,100.0000,10,10
063,3,100.0000,10,10
064,3,100.0000,10,10
065,3,75.5245,10,10
066,3,73.3941,10,10
067,3,81.9905,10,10
068,3,88.5514,10,10
069,3,100.0000,10,10
070,2,65.3763,10,10
071,3,100.0000,10,10
072,3,100.0000,10,10
073,3,100.0000,10,10
074,3,87.8289,10,10
075,2,58.8293,10,10
076,3,81.6492,10,10
077,3,89.7600,10,10
078,3,87.1734,10,10
079,3,88.0486,10,10
080,2,59.4603,10,10
081,3,100.0000,10,10
082,3,100.0000,10,10
083,3,95.9289,10,10
084,3,98.7292,10,10
085,3,85.9756,10,10
086,3,90.6033,10,10
087,3,93.4325,10,10
088,3,90.9379,10,10
089,3,99.8953,10,10
090,2,38.4156,10,10
091,3,100.0000,10,10
092,3,93.1699,10,10
093,3,93.8917,10,10
094,3,97.6809,10,10
095,3,73.1298,10,10
096,3,83.4860,10,10
097,3,89.1832,10,10
098,3,90.0968,10,10
099,3,97.4359,10,10
