level,chapter,current_grade,target_grade,grade_delta_steps,current_progress_pct,target_progress_pct,progress_delta_pct,current_base_hp_pct,target_base_hp_pct,base_hp_delta_pct,cleared,unwinnable_reason,target_frozen
1,1,easy,easy,0,1.13,38.0,-36.87,100.0,100.0,0.0,True,,True
2,1,easy,easy,0,0.96,38.0,-37.04,100.0,100.0,0.0,True,,True
3,1,easy,easy,0,0.91,38.0,-37.09,100.0,100.0,0.0,True,,True
4,1,easy,easy,0,1.86,38.0,-36.14,100.0,100.0,0.0,True,,True
5,1,light_pressure,light_pressure,0,92.74,66.0,26.74,100.0,100.0,0.0,True,,True
6,1,easy,easy,0,0.87,38.0,-37.13,100.0,100.0,0.0,True,,True
7,1,easy,easy,0,1.18,38.0,-36.82,100.0,100.0,0.0,True,,True
8,1,easy,easy,0,1.37,38.0,-36.63,100.0,100.0,0.0,True,,True
9,1,easy,easy,0,1.6,38.0,-36.4,100.0,100.0,0.0,True,,True
10,1,easy,light_pressure,-1,49.28,66.0,-16.72,100.0,100.0,0.0,True,,True
11,2,easy,easy,0,1.51,38.0,-36.49,100.0,100.0,0.0,True,,True
12,2,easy,easy,0,1.45,38.0,-36.55,100.0,100.0,0.0,True,,True
13,2,easy,light_pressure,-1,1.98,66.0,-64.02,100.0,100.0,0.0,True,,True
14,2,easy,light_pressure,-1,1.3,66.0,-64.7,100.0,100.0,0.0,True,,True
15,2,easy,light_pressure,-1,30.3,66.0,-35.7,100.0,100.0,0.0,True,,True
16,2,easy,easy,0,0.83,38.0,-37.17,100.0,100.0,0.0,True,,True
17,2,easy,easy,0,0.44,38.0,-37.56,100.0,100.0,0.0,True,,True
18,2,easy,light_pressure,-1,1.34,66.0,-64.66,100.0,100.0,0.0,True,,True
19,2,easy,light_pressure,-1,1.77,66.0,-64.23,100.0,100.0,0.0,True,,True
20,2,light_pressure,light_pressure,0,71.17,66.0,5.17,100.0,100.0,0.0,True,,True
21,3,easy,easy,0,0.68,38.0,-37.32,100.0,100.0,0.0,True,,True
22,3,easy,easy,0,1.07,38.0,-36.93,100.0,100.0,0.0,True,,True
23,3,easy,light_pressure,-1,1.42,66.0,-64.58,100.0,100.0,0.0,True,,True
24,3,easy,light_pressure,-1,0.55,66.0,-65.45,100.0,100.0,0.0,True,,True
25,3,light_pressure,light_pressure,0,61.64,66.0,-4.36,100.0,100.0,0.0,True,,True
26,3,easy,light_pressure,-1,36.23,66.0,-29.77,100.0,100.0,0.0,True,,True
27,3,easy,light_pressure,-1,1.88,66.0,-64.12,100.0,100.0,0.0,True,,True
28,3,easy,light_pressure,-1,19.43,66.0,-46.57,100.0,100.0,0.0,True,,True
29,3,easy,light_pressure,-1,1.12,66.0,-64.88,100.0,100.0,0.0,True,,True
30,3,unwinnable,pressure,,100.0,89.0,11.0,76.04,75.0,1.04,False,clear_timeout,True
31,4,easy,easy,0,0.68,38.0,-37.32,100.0,100.0,0.0,True,,True
32,4,easy,light_pressure,-1,0.53,66.0,-65.47,100.0,100.0,0.0,True,,True
33,4,easy,light_pressure,-1,1.2,66.0,-64.8,100.0,100.0,0.0,True,,True
34,4,easy,light_pressure,-1,6.85,66.0,-59.15,100.0,100.0,0.0,True,,True
35,4,easy,light_pressure,-1,35.44,66.0,-30.56,100.0,100.0,0.0,True,,True
36,4,easy,light_pressure,-1,1.31,66.0,-64.69,100.0,100.0,0.0,True,,True
37,4,easy,light_pressure,-1,0.83,66.0,-65.17,100.0,100.0,0.0,True,,True
38,4,easy,light_pressure,-1,1.81,66.0,-64.19,100.0,100.0,0.0,True,,True
39,4,easy,pressure,-2,1.7,89.0,-87.3,100.0,75.0,25.0,True,,True
40,4,high,pressure,1,100.0,89.0,11.0,40.12,75.0,-34.88,True,,True
41,5,easy,easy,0,0.32,38.0,-37.68,100.0,100.0,0.0,True,,True
42,5,easy,light_pressure,-1,0.96,66.0,-65.04,100.0,100.0,0.0,True,,True
43,5,easy,light_pressure,-1,1.64,66.0,-64.36,100.0,100.0,0.0,True,,True
44,5,easy,light_pressure,-1,1.0,66.0,-65.0,100.0,100.0,0.0,True,,True
45,5,high,light_pressure,2,100.0,66.0,34.0,98.8,100.0,-1.2,True,,True
46,5,easy,light_pressure,-1,0.53,66.0,-65.47,100.0,100.0,0.0,True,,True
47,5,easy,light_pressure,-1,1.46,66.0,-64.54,100.0,100.0,0.0,True,,True
48,5,high,pressure,1,100.0,89.0,11.0,79.21,75.0,4.21,True,,True
49,5,high,pressure,1,100.0,89.0,11.0,69.29,75.0,-5.71,True,,True
50,5,high,pressure,1,100.0,89.0,11.0,94.55,75.0,19.55,True,,True
51,6,easy,light_pressure,-1,28.94,66.0,-37.06,100.0,100.0,0.0,True,,True
52,6,easy,light_pressure,-1,1.2,66.0,-64.8,100.0,100.0,0.0,True,,True
53,6,easy,light_pressure,-1,14.82,66.0,-51.18,100.0,100.0,0.0,True,,True
54,6,easy,light_pressure,-1,24.08,66.0,-41.92,100.0,100.0,0.0,True,,True
55,6,easy,pressure,-2,24.73,89.0,-64.27,100.0,75.0,25.0,True,,True
56,6,easy,light_pressure,-1,22.81,66.0,-43.19,100.0,100.0,0.0,True,,True
57,6,easy,pressure,-2,28.79,89.0,-60.21,100.0,75.0,25.0,True,,True
58,6,easy,pressure,-2,26.4,89.0,-62.6,100.0,75.0,25.0,True,,True
59,6,easy,pressure,-2,6.22,89.0,-82.78,100.0,75.0,25.0,True,,True
60,6,high,pressure,1,100.0,89.0,11.0,37.97,75.0,-37.03,True,,True
61,7,easy,light_pressure,-1,43.51,66.0,-22.49,100.0,100.0,0.0,True,,True
62,7,easy,light_pressure,-1,0.64,66.0,-65.36,100.0,100.0,0.0,True,,True
63,7,easy,light_pressure,-1,1.47,66.0,-64.53,100.0,100.0,0.0,True,,True
64,7,easy,light_pressure,-1,48.12,66.0,-17.88,100.0,100.0,0.0,True,,True
65,7,light_pressure,pressure,-1,68.28,89.0,-20.72,100.0,75.0,25.0,True,,True
66,7,easy,pressure,-2,11.16,89.0,-77.84,100.0,75.0,25.0,True,,True
67,7,easy,pressure,-2,15.15,89.0,-73.85,100.0,75.0,25.0,True,,True
68,7,easy,pressure,-2,21.78,89.0,-67.22,100.0,75.0,25.0,True,,True
69,7,easy,pressure,-2,0.71,89.0,-88.29,100.0,75.0,25.0,True,,True
70,7,high,high,0,100.0,100.0,0.0,99.43,50.0,49.43,True,,True
71,8,easy,light_pressure,-1,12.08,66.0,-53.92,100.0,100.0,0.0,True,,True
72,8,easy,light_pressure,-1,1.83,66.0,-64.17,100.0,100.0,0.0,True,,True
73,8,easy,light_pressure,-1,0.75,66.0,-65.25,100.0,100.0,0.0,True,,True
74,8,easy,pressure,-2,3.39,89.0,-85.61,100.0,75.0,25.0,True,,True
75,8,high,high,0,100.0,100.0,0.0,99.48,50.0,49.48,True,,True
76,8,light_pressure,pressure,-1,78.34,89.0,-10.66,100.0,75.0,25.0,True,,True
77,8,easy,pressure,-2,2.37,89.0,-86.63,100.0,75.0,25.0,True,,True
78,8,easy,pressure,-2,17.32,89.0,-71.68,100.0,75.0,25.0,True,,True
79,8,easy,pressure,-2,1.15,89.0,-87.85,100.0,75.0,25.0,True,,True
80,8,easy,high,-3,23.42,100.0,-76.58,100.0,50.0,50.0,True,,True
81,9,easy,light_pressure,-1,0.7,66.0,-65.3,100.0,100.0,0.0,True,,True
