fire_rate_profile,level,chapter,grade,grade_zh,max_progress_pct,base_hp_pct,cleared,edge_reached,timed_out,unwinnable_reason,clear_time_seconds,clear_time_cap_seconds,weapon,character_level,weapon_level,armor_level,chip_level,pet_level,signature_level,gold_before,xp_before,stars_before,crowd_dps,boss_dps
tier_b,1,1,easy,轻松,1.15,100.0,True,False,False,,71.096,180.0,weapon_autocannon,1,1,0,0,0,0,0,0,0,747.08,114.02
tier_b,2,1,easy,轻松,0.98,100.0,True,False,False,,74.967,180.0,weapon_autocannon,2,3,0,0,0,0,59,249,2,1026.68,156.69
tier_b,3,1,easy,轻松,0.92,100.0,True,False,False,,76.491,180.0,weapon_autocannon,3,4,0,0,0,0,241,302,4,1105.63,168.74
tier_b,4,1,easy,轻松,1.9,100.0,True,False,False,,73.231,180.0,weapon_autocannon,4,5,0,0,0,0,329,328,6,1229.32,184.11
tier_b,5,1,light_pressure,略有压力,94.51,100.0,True,False,False,,93.403,180.0,weapon_autocannon,4,6,0,0,0,0,349,86,0,1555.21,333.1
tier_b,6,1,easy,轻松,0.89,100.0,True,False,False,,106.311,180.0,weapon_autocannon,5,7,0,0,0,0,33,179,2,1667.46,254.48
tier_b,7,1,easy,轻松,1.2,100.0,True,False,False,,67.315,180.0,weapon_autocannon,5,8,0,0,0,0,136,345,4,1629.43,244.04
tier_b,8,1,easy,轻松,1.4,100.0,True,False,False,,105.59,180.0,weapon_autocannon,5,9,0,0,0,1,32,13,6,1963.69,294.1
tier_b,9,1,easy,轻松,1.63,100.0,True,False,False,,91.654,180.0,weapon_autocannon,5,10,4,0,0,1,306,273,0,2105.01,304.33
tier_b,10,1,light_pressure,略有压力,50.56,100.0,True,False,False,,64.323,180.0,weapon_autocannon,6,11,4,0,0,1,259,315,2,2809.41,555.84
tier_b,11,2,easy,轻松,1.54,100.0,True,False,False,,118.877,180.0,weapon_autocannon,7,12,4,0,0,1,43,375,4,2636.44,394.85
tier_b,12,2,easy,轻松,1.48,100.0,True,False,False,,94.354,180.0,weapon_autocannon,7,13,4,0,0,1,177,71,6,2806.02,405.67
tier_b,13,2,easy,轻松,2.01,100.0,True,False,False,,122.485,180.0,weapon_autocannon,8,14,5,0,0,1,85,736,8,3585.87,472.97
tier_b,14,2,easy,轻松,1.32,100.0,True,False,False,,113.406,180.0,weapon_autocannon,8,15,5,0,0,1,246,453,1,3490.82,481.9
tier_b,15,2,easy,轻松,30.66,100.0,True,False,False,,67.902,180.0,weapon_scattergun,8,6,5,0,0,1,92,204,3,4066.8,837.99
tier_b,16,2,easy,轻松,0.84,100.0,True,False,False,,125.793,180.0,weapon_scattergun,8,7,6,0,0,1,237,573,5,4702.36,645.97
tier_b,17,2,easy,轻松,0.45,100.0,True,False,False,,109.612,180.0,weapon_scattergun,8,8,6,0,0,1,28,488,7,5064.29,695.69
tier_b,18,2,easy,轻松,1.35,100.0,True,False,False,,106.152,180.0,weapon_scattergun,9,9,7,0,0,1,352,398,9,5411.87,689.47
tier_b,19,2,easy,轻松,1.79,100.0,True,False,False,,93.146,180.0,weapon_scattergun,9,10,7,0,0,1,137,874,11,5794.11,738.17
tier_b,20,2,light_pressure,略有压力,72.03,100.0,True,False,False,,117.015,180.0,weapon_scattergun,10,11,8,0,0,1,270,777,13,6859.18,1310.79
tier_b,21,3,easy,轻松,0.69,100.0,True,False,False,,109.066,180.0,weapon_scattergun,10,12,8,0,0,2,397,452,1,7938.43,942.92
tier_b,22,3,easy,轻松,1.08,100.0,True,False,False,,120.139,180.0,weapon_scattergun,10,13,9,0,0,2,91,253,3,8438.51,1002.32
tier_b,23,3,easy,轻松,1.44,100.0,True,False,False,,94.915,180.0,weapon_scattergun,10,14,9,0,0,2,334,91,5,9153.77,1042.44
tier_b,24,3,easy,轻松,0.55,100.0,True,False,False,,103.322,180.0,weapon_scattergun,10,15,9,0,0,2,665,61,7,9692.22,1103.77
tier_b,25,3,light_pressure,略有压力,62.44,100.0,True,False,False,,129.577,180.0,weapon_scattergun,10,16,9,0,0,2,102,858,1,10850.1,1984.78
tier_b,26,3,easy,轻松,37.45,100.0,True,False,False,,118.271,180.0,weapon_scattergun,10,16,9,0,0,2,446,406,3,9322.25,1166.63
tier_b,27,3,easy,轻松,1.9,100.0,True,False,False,,96.665,180.0,weapon_scattergun,10,17,9,0,0,2,150,1461,5,9836.9,1231.03
tier_b,28,3,easy,轻松,20.35,100.0,True,False,False,,108.545,180.0,weapon_scattergun,10,18,9,0,0,2,21,197,7,10363.87,1296.98
tier_b,29,3,easy,轻松,1.14,100.0,True,False,False,,105.264,180.0,weapon_scattergun,10,19,9,6,0,2,451,1072,1,13618.33,1704.26
tier_b,30,3,unwinnable,不可胜,100.0,70.51,False,True,True,clear_timeout,189.389,180.0,weapon_scattergun,10,20,9,7,0,2,3,1936,3,16575.99,3128.28
tier_b,31,4,easy,轻松,0.7,100.0,True,False,False,,98.26,180.0,weapon_scattergun,10,21,9,7,0,2,529,918,5,15944.61,2122.21
tier_b,32,4,easy,轻松,0.54,100.0,True,False,False,,108.152,180.0,weapon_scattergun,10,22,9,8,0,2,105,1884,7,18698.75,2340.05
tier_b,33,4,easy,轻松,1.22,100.0,True,False,False,,94.588,180.0,weapon_scattergun,10,23,9,8,0,2,195,791,1,19878.09,2171.77
tier_b,34,4,easy,轻松,6.17,100.0,True,False,False,,119.437,180.0,weapon_scattergun,10,23,9,9,0,2,42,1518,3,20072.13,2511.92
tier_b,35,4,easy,轻松,34.39,100.0,True,False,False,,76.715,180.0,weapon_scattergun,10,24,9,10,0,2,192,476,5,32581.54,7569.29
tier_b,36,4,easy,轻松,1.27,100.0,True,False,False,,96.158,180.0,weapon_scattergun,10,24,9,10,0,2,464,1124,7,21685.04,2529.79
tier_b,37,4,easy,轻松,0.8,100.0,True,False,False,,110.194,180.0,weapon_scattergun,10,25,9,11,0,2,142,135,9,23009.93,2879.57
tier_b,38,4,easy,轻松,1.84,100.0,True,False,False,,119.999,180.0,weapon_scattergun,10,26,10,11,0,2,273,1291,11,24384.45,2664.11
tier_b,39,4,easy,轻松,1.7,100.0,True,False,False,,98.762,180.0,weapon_scattergun,11,27,10,11,0,2,217,486,13,40057.53,6204.07
tier_b,40,4,high,难度高,100.0,41.04,True,True,False,,128.264,180.0,weapon_scattergun,11,28,10,11,0,2,101,1345,15,27275.87,5120.14
tier_b,41,5,easy,轻松,0.33,100.0,True,False,False,,112.485,180.0,weapon_scattergun,11,29,10,11,0,2,818,641,1,28616.46,3338.42
tier_b,42,5,easy,轻松,0.96,100.0,True,False,False,,122.189,180.0,weapon_scattergun,11,30,10,12,0,2,140,1951,3,30380.05,3801.9
tier_b,43,5,easy,轻松,1.64,100.0,True,False,False,,129.94,180.0,weapon_scattergun,11,31,10,12,0,3,709,315,5,34400.98,3758.45
tier_b,44,5,easy,轻松,1.04,100.0,True,False,False,,103.791,180.0,weapon_scattergun,11,32,10,12,0,3,600,1626,7,40506.16,4425.47
tier_b,45,5,high,难度高,100.0,98.8,True,True,False,,99.827,180.0,weapon_scattergun,12,33,10,12,0,3,115,872,9,74863.66,17392.2
tier_b,46,5,easy,轻松,0.53,100.0,True,False,False,,99.072,180.0,weapon_scattergun,12,34,10,12,0,3,31,183,1,52375.67,4655.58
tier_b,47,5,easy,轻松,19.97,100.0,True,False,False,,140.288,180.0,weapon_scattergun,12,34,10,12,0,3,781,1227,3,53147.23,4981.47
tier_b,48,5,high,难度高,100.0,79.64,True,True,False,,90.441,180.0,weapon_scattergun,13,35,10,12,0,3,47,285,5,51838.98,4757.5
tier_b,49,5,high,难度高,100.0,54.88,True,True,False,,109.426,180.0,weapon_scattergun,13,36,10,12,0,3,183,1557,7,53669.39,4925.49
tier_b,50,5,high,难度高,100.0,86.37,True,True,False,,145.418,180.0,weapon_scattergun,13,37,10,12,4,3,244,2821,1,78292.06,11385.0
