Plan: 48 unique captures; HEAD=55cbff287138c6f22099cee00ebbe5b9987705f1
[1/48] core_1080x1920_en_default_map_chapter1: 2.277s exit=0 issues=[]
[2/48] core_1080x1920_zh_default_map_chapter1: 2.19s exit=0 issues=[]
[3/48] core_1320x2868_en_default_map_chapter1: 3.044s exit=0 issues=[]
[4/48] core_1320x2868_zh_default_map_chapter1: 2.94s exit=0 issues=[]
[5/48] core_750x1334_en_default_map_chapter1: 1.75s exit=0 issues=[]
[6/48] core_750x1334_zh_default_map_chapter1: 1.727s exit=0 issues=[]
[7/48] core_1080x1920_en_default_map_chapter10: 2.164s exit=0 issues=[]
[8/48] core_1080x1920_en_default_map_chapter1_unplayed: 2.186s exit=0 issues=[]
[9/48] core_1080x1920_en_default_map_overview: 2.17s exit=0 issues=[]
[10/48] core_1080x1920_zh_default_map_chapter10: 2.141s exit=0 issues=[]
[11/48] core_1080x1920_zh_default_map_chapter1_unplayed: 2.153s exit=0 issues=[]
[12/48] core_1080x1920_zh_default_map_overview: 2.138s exit=0 issues=[]
[13/48] core_1320x2868_en_default_map_chapter10: 3.02s exit=0 issues=[]
[14/48] core_1320x2868_en_default_map_chapter1_unplayed: 3.009s exit=0 issues=[]
[15/48] core_1320x2868_en_default_map_overview: 2.996s exit=0 issues=[]
[16/48] core_1320x2868_zh_default_map_chapter10: 2.931s exit=0 issues=[]
[17/48] core_1320x2868_zh_default_map_chapter1_unplayed: 2.853s exit=0 issues=[]
[18/48] core_1320x2868_zh_default_map_overview: 2.879s exit=0 issues=[]
[19/48] core_750x1334_en_default_map_chapter10: 1.737s exit=0 issues=[]
[20/48] core_750x1334_en_default_map_chapter1_unplayed: 1.765s exit=0 issues=[]
[21/48] core_750x1334_en_default_map_overview: 1.78s exit=0 issues=[]
[22/48] core_750x1334_zh_default_map_chapter10: 1.727s exit=0 issues=[]
[23/48] core_750x1334_zh_default_map_chapter1_unplayed: 1.687s exit=0 issues=[]
[24/48] core_750x1334_zh_default_map_overview: 1.77s exit=0 issues=[]
[25/48] core_1080x1920_en_gilded_eclipse_map_chapter1: 2.199s exit=0 issues=[]
[26/48] core_1080x1920_en_infernal_dominion_map_chapter1: 2.221s exit=0 issues=[]
[27/48] core_1080x1920_en_neon_tempest_map_chapter1: 2.202s exit=0 issues=[]
[28/48] core_1080x1920_en_polar_aurora_map_chapter1: 2.222s exit=0 issues=[]
[29/48] core_1080x1920_zh_gilded_eclipse_map_chapter1: 2.168s exit=0 issues=[]
[30/48] core_1080x1920_zh_infernal_dominion_map_chapter1: 2.159s exit=0 issues=[]
[31/48] core_1080x1920_zh_neon_tempest_map_chapter1: 2.174s exit=0 issues=[]
[32/48] core_1080x1920_zh_polar_aurora_map_chapter1: 2.17s exit=0 issues=[]
[33/48] core_1320x2868_en_gilded_eclipse_map_chapter1: 2.991s exit=0 issues=[]
[34/48] core_1320x2868_en_infernal_dominion_map_chapter1: 2.99s exit=0 issues=[]
[35/48] core_1320x2868_en_neon_tempest_map_chapter1: 2.973s exit=0 issues=[]
[36/48] core_1320x2868_en_polar_aurora_map_chapter1: 2.999s exit=0 issues=[]
[37/48] core_1320x2868_zh_gilded_eclipse_map_chapter1: 2.879s exit=0 issues=[]
[38/48] core_1320x2868_zh_infernal_dominion_map_chapter1: 2.904s exit=0 issues=[]
[39/48] core_1320x2868_zh_neon_tempest_map_chapter1: 2.897s exit=0 issues=[]
[40/48] core_1320x2868_zh_polar_aurora_map_chapter1: 2.866s exit=0 issues=[]
[41/48] core_750x1334_en_gilded_eclipse_map_chapter1: 1.765s exit=0 issues=[]
[42/48] core_750x1334_en_infernal_dominion_map_chapter1: 1.81s exit=0 issues=[]
[43/48] core_750x1334_en_neon_tempest_map_chapter1: 1.776s exit=0 issues=[]
[44/48] core_750x1334_en_polar_aurora_map_chapter1: 1.815s exit=0 issues=[]
[45/48] core_750x1334_zh_gilded_eclipse_map_chapter1: 1.716s exit=0 issues=[]
[46/48] core_750x1334_zh_infernal_dominion_map_chapter1: 1.722s exit=0 issues=[]
[47/48] core_750x1334_zh_neon_tempest_map_chapter1: 1.774s exit=0 issues=[]
[48/48] core_750x1334_zh_polar_aurora_map_chapter1: 1.719s exit=0 issues=[]
