Plan: 48 unique captures; HEAD=55cbff287138c6f22099cee00ebbe5b9987705f1
[1/48] core_1080x1920_en_default_map_chapter1: 2.299s exit=0 issues=[]
[2/48] core_1080x1920_zh_default_map_chapter1: 2.195s exit=0 issues=[]
[3/48] core_1320x2868_en_default_map_chapter1: 3.017s exit=0 issues=[]
[4/48] core_1320x2868_zh_default_map_chapter1: 2.965s exit=0 issues=[]
[5/48] core_750x1334_en_default_map_chapter1: 1.772s exit=0 issues=[]
[6/48] core_750x1334_zh_default_map_chapter1: 1.726s exit=0 issues=[]
[7/48] core_1080x1920_en_default_map_chapter10: 2.16s exit=0 issues=[]
[8/48] core_1080x1920_en_default_map_chapter1_unplayed: 2.217s exit=0 issues=[]
[9/48] core_1080x1920_en_default_map_overview: 2.208s exit=0 issues=[]
[10/48] core_1080x1920_zh_default_map_chapter10: 2.177s exit=0 issues=[]
[11/48] core_1080x1920_zh_default_map_chapter1_unplayed: 2.188s exit=0 issues=[]
[12/48] core_1080x1920_zh_default_map_overview: 2.125s exit=0 issues=[]
[13/48] core_1320x2868_en_default_map_chapter10: 3.005s exit=0 issues=[]
[14/48] core_1320x2868_en_default_map_chapter1_unplayed: 3.009s exit=0 issues=[]
[15/48] core_1320x2868_en_default_map_overview: 2.99s exit=0 issues=[]
[16/48] core_1320x2868_zh_default_map_chapter10: 2.905s exit=0 issues=[]
[17/48] core_1320x2868_zh_default_map_chapter1_unplayed: 2.953s exit=0 issues=[]
[18/48] core_1320x2868_zh_default_map_overview: 2.978s exit=0 issues=[]
[19/48] core_750x1334_en_default_map_chapter10: 1.747s exit=0 issues=[]
[20/48] core_750x1334_en_default_map_chapter1_unplayed: 1.79s exit=0 issues=[]
[21/48] core_750x1334_en_default_map_overview: 1.732s exit=0 issues=[]
[22/48] core_750x1334_zh_default_map_chapter10: 1.746s exit=0 issues=[]
[23/48] core_750x1334_zh_default_map_chapter1_unplayed: 1.757s exit=0 issues=[]
[24/48] core_750x1334_zh_default_map_overview: 1.709s exit=0 issues=[]
[25/48] core_1080x1920_en_gilded_eclipse_map_chapter1: 2.203s exit=0 issues=[]
[26/48] core_1080x1920_en_infernal_dominion_map_chapter1: 2.234s exit=0 issues=[]
[27/48] core_1080x1920_en_neon_tempest_map_chapter1: 2.226s exit=0 issues=[]
[28/48] core_1080x1920_en_polar_aurora_map_chapter1: 2.189s exit=0 issues=[]
[29/48] core_1080x1920_zh_gilded_eclipse_map_chapter1: 2.138s exit=0 issues=[]
[30/48] core_1080x1920_zh_infernal_dominion_map_chapter1: 2.131s exit=0 issues=[]
[31/48] core_1080x1920_zh_neon_tempest_map_chapter1: 2.151s exit=0 issues=[]
[32/48] core_1080x1920_zh_polar_aurora_map_chapter1: 2.133s exit=0 issues=[]
[33/48] core_1320x2868_en_gilded_eclipse_map_chapter1: 3.026s exit=0 issues=[]
[34/48] core_1320x2868_en_infernal_dominion_map_chapter1: 3.022s exit=0 issues=[]
[35/48] core_1320x2868_en_neon_tempest_map_chapter1: 2.997s exit=0 issues=[]
[36/48] core_1320x2868_en_polar_aurora_map_chapter1: 2.987s exit=0 issues=[]
[37/48] core_1320x2868_zh_gilded_eclipse_map_chapter1: 2.89s exit=0 issues=[]
[38/48] core_1320x2868_zh_infernal_dominion_map_chapter1: 2.874s exit=0 issues=[]
[39/48] core_1320x2868_zh_neon_tempest_map_chapter1: 2.896s exit=0 issues=[]
[40/48] core_1320x2868_zh_polar_aurora_map_chapter1: 2.88s exit=0 issues=[]
[41/48] core_750x1334_en_gilded_eclipse_map_chapter1: 1.786s exit=0 issues=[]
[42/48] core_750x1334_en_infernal_dominion_map_chapter1: 1.804s exit=0 issues=[]
[43/48] core_750x1334_en_neon_tempest_map_chapter1: 1.804s exit=0 issues=[]
[44/48] core_750x1334_en_polar_aurora_map_chapter1: 1.778s exit=0 issues=[]
[45/48] core_750x1334_zh_gilded_eclipse_map_chapter1: 1.761s exit=0 issues=[]
[46/48] core_750x1334_zh_infernal_dominion_map_chapter1: 1.737s exit=0 issues=[]
[47/48] core_750x1334_zh_neon_tempest_map_chapter1: 1.76s exit=0 issues=[]
[48/48] core_750x1334_zh_polar_aurora_map_chapter1: 1.763s exit=0 issues=[]
