Plan: 86 unique captures; HEAD=663618d722ebacb0131eefd3061b5381088e65ac
[1/86] blaze_default_weapon_scattergun_fire_1080x1920: 2.555s exit=0 issues=[]
[2/86] blaze_default_weapon_scattergun_fire_1320x2868: 3.261s exit=0 issues=[]
[3/86] blaze_default_weapon_scattergun_fire_750x1334: 2.031s exit=0 issues=[]
[4/86] blaze_default_weapon_scattergun_idle_1080x1920: 2.48s exit=0 issues=[]
[5/86] blaze_default_weapon_scattergun_idle_1320x2868: 3.339s exit=0 issues=[]
[6/86] blaze_default_weapon_scattergun_idle_750x1334: 2.038s exit=0 issues=[]
[7/86] blaze_gilded_eclipse_weapon_scattergun_fire_1080x1920: 2.52s exit=0 issues=[]
[8/86] blaze_gilded_eclipse_weapon_scattergun_idle_1080x1920: 2.533s exit=0 issues=[]
[9/86] blaze_infernal_dominion_weapon_scattergun_fire_1080x1920: 2.56s exit=0 issues=[]
[10/86] blaze_infernal_dominion_weapon_scattergun_idle_1080x1920: 2.544s exit=0 issues=[]
[11/86] blaze_neon_tempest_weapon_scattergun_fire_1080x1920: 2.551s exit=0 issues=[]
[12/86] blaze_neon_tempest_weapon_scattergun_idle_1080x1920: 2.492s exit=0 issues=[]
[13/86] blaze_polar_aurora_weapon_scattergun_fire_1080x1920: 2.521s exit=0 issues=[]
[14/86] blaze_polar_aurora_weapon_scattergun_idle_1080x1920: 2.58s exit=0 issues=[]
[15/86] frost_default_weapon_scattergun_fire_1080x1920: 2.578s exit=0 issues=[]
[16/86] frost_default_weapon_scattergun_fire_1320x2868: 3.305s exit=0 issues=[]
[17/86] frost_default_weapon_scattergun_fire_750x1334: 2.069s exit=0 issues=[]
[18/86] frost_default_weapon_scattergun_idle_1080x1920: 2.505s exit=0 issues=[]
[19/86] frost_default_weapon_scattergun_idle_1320x2868: 3.34s exit=0 issues=[]
[20/86] frost_default_weapon_scattergun_idle_750x1334: 2.047s exit=0 issues=[]
[21/86] frost_gilded_eclipse_weapon_scattergun_fire_1080x1920: 2.486s exit=0 issues=[]
[22/86] frost_gilded_eclipse_weapon_scattergun_idle_1080x1920: 2.543s exit=0 issues=[]
[23/86] frost_infernal_dominion_weapon_scattergun_fire_1080x1920: 2.516s exit=0 issues=[]
[24/86] frost_infernal_dominion_weapon_scattergun_idle_1080x1920: 2.535s exit=0 issues=[]
