Plan: 42 unique captures; HEAD=688fc89d564dfe36b48091014aa42614d83c9792
[1/42] core_1080x1920_en_default_map: 2.121s exit=0 issues=[]
[2/42] core_1080x1920_en_default_map_major: 2.836s exit=0 issues=[]
[3/42] core_1080x1920_en_default_map_minor: 2.849s exit=0 issues=[]
[4/42] core_1080x1920_zh_default_map: 2.092s exit=0 issues=[]
[5/42] core_1080x1920_zh_default_map_major: 2.855s exit=0 issues=[]
[6/42] core_1080x1920_zh_default_map_minor: 2.888s exit=0 issues=[]
[7/42] core_1320x2868_en_default_map: 2.935s exit=0 issues=[]
[8/42] core_1320x2868_en_default_map_major: 3.657s exit=0 issues=[]
[9/42] core_1320x2868_en_default_map_minor: 3.657s exit=0 issues=[]
[10/42] core_1320x2868_zh_default_map: 2.857s exit=0 issues=[]
[11/42] core_1320x2868_zh_default_map_major: 3.572s exit=0 issues=[]
[12/42] core_1320x2868_zh_default_map_minor: 3.601s exit=0 issues=[]
[13/42] core_750x1334_en_default_map: 1.671s exit=0 issues=[]
[14/42] core_750x1334_en_default_map_major: 2.44s exit=0 issues=[]
[15/42] core_750x1334_en_default_map_minor: 2.438s exit=0 issues=[]
[16/42] core_750x1334_zh_default_map: 1.63s exit=0 issues=[]
[17/42] core_750x1334_zh_default_map_major: 2.412s exit=0 issues=[]
[18/42] core_750x1334_zh_default_map_minor: 2.374s exit=0 issues=[]
[19/42] core_1080x1920_en_gilded_eclipse_map: 2.13s exit=0 issues=[]
[20/42] core_1080x1920_en_infernal_dominion_map: 2.098s exit=0 issues=[]
[21/42] core_1080x1920_en_neon_tempest_map: 2.16s exit=0 issues=[]
[22/42] core_1080x1920_en_polar_aurora_map: 2.116s exit=0 issues=[]
[23/42] core_1080x1920_zh_gilded_eclipse_map: 2.107s exit=0 issues=[]
[24/42] core_1080x1920_zh_infernal_dominion_map: 2.062s exit=0 issues=[]
[25/42] core_1080x1920_zh_neon_tempest_map: 2.108s exit=0 issues=[]
[26/42] core_1080x1920_zh_polar_aurora_map: 2.112s exit=0 issues=[]
[27/42] core_1320x2868_en_gilded_eclipse_map: 2.937s exit=0 issues=[]
[28/42] core_1320x2868_en_infernal_dominion_map: 2.883s exit=0 issues=[]
[29/42] core_1320x2868_en_neon_tempest_map: 2.886s exit=0 issues=[]
[30/42] core_1320x2868_en_polar_aurora_map: 2.931s exit=0 issues=[]
[31/42] core_1320x2868_zh_gilded_eclipse_map: 2.848s exit=0 issues=[]
[32/42] core_1320x2868_zh_infernal_dominion_map: 2.88s exit=0 issues=[]
[33/42] core_1320x2868_zh_neon_tempest_map: 2.902s exit=0 issues=[]
[34/42] core_1320x2868_zh_polar_aurora_map: 2.888s exit=0 issues=[]
[35/42] core_750x1334_en_gilded_eclipse_map: 1.638s exit=0 issues=[]
[36/42] core_750x1334_en_infernal_dominion_map: 1.668s exit=0 issues=[]
[37/42] core_750x1334_en_neon_tempest_map: 1.69s exit=0 issues=[]
[38/42] core_750x1334_en_polar_aurora_map: 1.709s exit=0 issues=[]
[39/42] core_750x1334_zh_gilded_eclipse_map: 1.65s exit=0 issues=[]
[40/42] core_750x1334_zh_infernal_dominion_map: 1.698s exit=0 issues=[]
[41/42] core_750x1334_zh_neon_tempest_map: 1.649s exit=0 issues=[]
[42/42] core_750x1334_zh_polar_aurora_map: 1.703s exit=0 issues=[]
