Plan: 36 unique captures; HEAD=9c35ced67c3c2476a8eaff7af16259c9d44f5e5e
[1/36] core_1080x1920_en_default_map_early_campaign: 2.284s exit=0 issues=[]
[2/36] core_1080x1920_zh_default_map_early_campaign: 2.163s exit=0 issues=[]
[3/36] core_1320x2868_en_default_map_early_campaign: 3.039s exit=0 issues=[]
[4/36] core_1320x2868_zh_default_map_early_campaign: 2.993s exit=0 issues=[]
[5/36] core_750x1334_en_default_map_early_campaign: 1.763s exit=0 issues=[]
[6/36] core_750x1334_zh_default_map_early_campaign: 1.704s exit=0 issues=[]
[7/36] core_1080x1920_en_default_map: 2.12s exit=0 issues=[]
[8/36] core_1080x1920_en_gilded_eclipse_map: 2.143s exit=0 issues=[]
[9/36] core_1080x1920_en_infernal_dominion_map: 2.12s exit=0 issues=[]
[10/36] core_1080x1920_en_neon_tempest_map: 2.118s exit=0 issues=[]
[11/36] core_1080x1920_en_polar_aurora_map: 2.139s exit=0 issues=[]
[12/36] core_1080x1920_zh_default_map: 2.093s exit=0 issues=[]
[13/36] core_1080x1920_zh_gilded_eclipse_map: 2.114s exit=0 issues=[]
[14/36] core_1080x1920_zh_infernal_dominion_map: 2.073s exit=0 issues=[]
[15/36] core_1080x1920_zh_neon_tempest_map: 2.039s exit=0 issues=[]
[16/36] core_1080x1920_zh_polar_aurora_map: 2.071s exit=0 issues=[]
[17/36] core_1320x2868_en_default_map: 2.845s exit=0 issues=[]
[18/36] core_1320x2868_en_gilded_eclipse_map: 2.866s exit=0 issues=[]
[19/36] core_1320x2868_en_infernal_dominion_map: 2.923s exit=0 issues=[]
[20/36] core_1320x2868_en_neon_tempest_map: 2.894s exit=0 issues=[]
[21/36] core_1320x2868_en_polar_aurora_map: 2.876s exit=0 issues=[]
[22/36] core_1320x2868_zh_default_map: 2.782s exit=0 issues=[]
[23/36] core_1320x2868_zh_gilded_eclipse_map: 2.817s exit=0 issues=[]
[24/36] core_1320x2868_zh_infernal_dominion_map: 2.87s exit=0 issues=[]
[25/36] core_1320x2868_zh_neon_tempest_map: 2.826s exit=0 issues=[]
[26/36] core_1320x2868_zh_polar_aurora_map: 2.847s exit=0 issues=[]
[27/36] core_750x1334_en_default_map: 1.633s exit=0 issues=[]
[28/36] core_750x1334_en_gilded_eclipse_map: 1.627s exit=0 issues=[]
[29/36] core_750x1334_en_infernal_dominion_map: 1.647s exit=0 issues=[]
[30/36] core_750x1334_en_neon_tempest_map: 1.667s exit=0 issues=[]
[31/36] core_750x1334_en_polar_aurora_map: 1.697s exit=0 issues=[]
[32/36] core_750x1334_zh_default_map: 1.705s exit=0 issues=[]
[33/36] core_750x1334_zh_gilded_eclipse_map: 1.664s exit=0 issues=[]
[34/36] core_750x1334_zh_infernal_dominion_map: 1.679s exit=0 issues=[]
[35/36] core_750x1334_zh_neon_tempest_map: 1.651s exit=0 issues=[]
[36/36] core_750x1334_zh_polar_aurora_map: 1.593s exit=0 issues=[]
