Plan: 42 unique captures; HEAD=8c3aac516dba2e01f6829c3075954f5d3d99772c
[1/42] core_1080x1920_en_default_map_chapter1: 2.211s exit=0 issues=[]
[2/42] core_1080x1920_zh_default_map_chapter1: 2.126s exit=0 issues=[]
[3/42] core_1320x2868_en_default_map_chapter1: 2.996s exit=0 issues=[]
[4/42] core_1320x2868_zh_default_map_chapter1: 2.873s exit=0 issues=[]
[5/42] core_750x1334_en_default_map_chapter1: 1.751s exit=0 issues=[]
[6/42] core_750x1334_zh_default_map_chapter1: 1.767s exit=0 issues=[]
[7/42] core_1080x1920_en_default_map_chapter10: 2.134s exit=0 issues=[]
[8/42] core_1080x1920_en_default_map_chapter1_unplayed: 2.159s exit=0 issues=[]
[9/42] core_1080x1920_zh_default_map_chapter10: 2.166s exit=0 issues=[]
[10/42] core_1080x1920_zh_default_map_chapter1_unplayed: 2.155s exit=0 issues=[]
[11/42] core_1320x2868_en_default_map_chapter10: 2.995s exit=0 issues=[]
[12/42] core_1320x2868_en_default_map_chapter1_unplayed: 2.978s exit=0 issues=[]
[13/42] core_1320x2868_zh_default_map_chapter10: 2.909s exit=0 issues=[]
[14/42] core_1320x2868_zh_default_map_chapter1_unplayed: 2.878s exit=0 issues=[]
[15/42] core_750x1334_en_default_map_chapter10: 1.749s exit=0 issues=[]
[16/42] core_750x1334_en_default_map_chapter1_unplayed: 1.777s exit=0 issues=[]
[17/42] core_750x1334_zh_default_map_chapter10: 1.728s exit=0 issues=[]
[18/42] core_750x1334_zh_default_map_chapter1_unplayed: 1.785s exit=0 issues=[]
[19/42] core_1080x1920_en_gilded_eclipse_map_chapter1: 2.192s exit=0 issues=[]
[20/42] core_1080x1920_en_infernal_dominion_map_chapter1: 2.201s exit=0 issues=[]
[21/42] core_1080x1920_en_neon_tempest_map_chapter1: 2.219s exit=0 issues=[]
[22/42] core_1080x1920_en_polar_aurora_map_chapter1: 2.197s exit=0 issues=[]
[23/42] core_1080x1920_zh_gilded_eclipse_map_chapter1: 2.12s exit=0 issues=[]
[24/42] core_1080x1920_zh_infernal_dominion_map_chapter1: 2.182s exit=0 issues=[]
[25/42] core_1080x1920_zh_neon_tempest_map_chapter1: 2.279s exit=0 issues=[]
[26/42] core_1080x1920_zh_polar_aurora_map_chapter1: 2.273s exit=0 issues=[]
[27/42] core_1320x2868_en_gilded_eclipse_map_chapter1: 2.981s exit=0 issues=[]
[28/42] core_1320x2868_en_infernal_dominion_map_chapter1: 2.996s exit=0 issues=[]
[29/42] core_1320x2868_en_neon_tempest_map_chapter1: 3.012s exit=0 issues=[]
[30/42] core_1320x2868_en_polar_aurora_map_chapter1: 2.988s exit=0 issues=[]
[31/42] core_1320x2868_zh_gilded_eclipse_map_chapter1: 2.884s exit=0 issues=[]
[32/42] core_1320x2868_zh_infernal_dominion_map_chapter1: 2.883s exit=0 issues=[]
[33/42] core_1320x2868_zh_neon_tempest_map_chapter1: 2.924s exit=0 issues=[]
[34/42] core_1320x2868_zh_polar_aurora_map_chapter1: 2.875s exit=0 issues=[]
[35/42] core_750x1334_en_gilded_eclipse_map_chapter1: 1.775s exit=0 issues=[]
[36/42] core_750x1334_en_infernal_dominion_map_chapter1: 1.796s exit=0 issues=[]
[37/42] core_750x1334_en_neon_tempest_map_chapter1: 1.828s exit=0 issues=[]
[38/42] core_750x1334_en_polar_aurora_map_chapter1: 1.831s exit=0 issues=[]
[39/42] core_750x1334_zh_gilded_eclipse_map_chapter1: 1.758s exit=0 issues=[]
[40/42] core_750x1334_zh_infernal_dominion_map_chapter1: 1.759s exit=0 issues=[]
[41/42] core_750x1334_zh_neon_tempest_map_chapter1: 1.745s exit=0 issues=[]
[42/42] core_750x1334_zh_polar_aurora_map_chapter1: 1.782s exit=0 issues=[]
