Plan: 30 unique captures; HEAD=4a0423aa9772cc0671d72de5dda8e0ddce7f516b
[1/30] menu_default_zh_1080x1920: 2.103s exit=0 issues=[]
[2/30] menu_default_zh_1320x2868: 2.768s exit=0 issues=[]
[3/30] menu_default_zh_750x1334: 1.564s exit=0 issues=[]
[4/30] menu_default_en_1080x1920: 2.022s exit=0 issues=[]
[5/30] menu_default_en_1320x2868: 2.823s exit=0 issues=[]
[6/30] menu_default_en_750x1334: 1.611s exit=0 issues=[]
[7/30] menu_neon_tempest_zh_1080x1920: 2.048s exit=0 issues=[]
[8/30] menu_neon_tempest_zh_1320x2868: 2.764s exit=0 issues=[]
[9/30] menu_neon_tempest_zh_750x1334: 1.615s exit=0 issues=[]
[10/30] menu_neon_tempest_en_1080x1920: 2.077s exit=0 issues=[]
[11/30] menu_neon_tempest_en_1320x2868: 2.866s exit=0 issues=[]
[12/30] menu_neon_tempest_en_750x1334: 1.646s exit=0 issues=[]
[13/30] menu_infernal_dominion_zh_1080x1920: 2.018s exit=0 issues=[]
[14/30] menu_infernal_dominion_zh_1320x2868: 2.77s exit=0 issues=[]
[15/30] menu_infernal_dominion_zh_750x1334: 1.635s exit=0 issues=[]
[16/30] menu_infernal_dominion_en_1080x1920: 2.09s exit=0 issues=[]
[17/30] menu_infernal_dominion_en_1320x2868: 2.789s exit=0 issues=[]
[18/30] menu_infernal_dominion_en_750x1334: 1.587s exit=0 issues=[]
[19/30] menu_polar_aurora_zh_1080x1920: 2.039s exit=0 issues=[]
[20/30] menu_polar_aurora_zh_1320x2868: 2.777s exit=0 issues=[]
[21/30] menu_polar_aurora_zh_750x1334: 1.58s exit=0 issues=[]
[22/30] menu_polar_aurora_en_1080x1920: 2.045s exit=0 issues=[]
[23/30] menu_polar_aurora_en_1320x2868: 2.87s exit=0 issues=[]
[24/30] menu_polar_aurora_en_750x1334: 1.596s exit=0 issues=[]
[25/30] menu_gilded_eclipse_zh_1080x1920: 2.066s exit=0 issues=[]
[26/30] menu_gilded_eclipse_zh_1320x2868: 2.763s exit=0 issues=[]
[27/30] menu_gilded_eclipse_zh_750x1334: 1.566s exit=0 issues=[]
[28/30] menu_gilded_eclipse_en_1080x1920: 2.071s exit=0 issues=[]
[29/30] menu_gilded_eclipse_en_1320x2868: 2.87s exit=0 issues=[]
[30/30] menu_gilded_eclipse_en_750x1334: 1.562s exit=0 issues=[]
