Plan: 66 unique captures; HEAD=3ce33b29506442a5843e3ff4f9740ef140bf245e
[51/66] store_detail_zh_com_gaojiasheng_zombiefire_theme_neon_tempest_scroll0: 2.395s exit=0 issues=[]
[52/66] store_detail_zh_com_gaojiasheng_zombiefire_theme_neon_tempest_scroll10000: 2.452s exit=0 issues=[]
[53/66] store_detail_zh_com_gaojiasheng_zombiefire_theme_infernal_dominion_scroll0: 2.387s exit=0 issues=[]
[54/66] store_detail_zh_com_gaojiasheng_zombiefire_theme_infernal_dominion_scroll10000: 2.315s exit=0 issues=[]
[55/66] store_detail_zh_com_gaojiasheng_zombiefire_theme_polar_aurora_scroll0: 2.395s exit=0 issues=[]
[56/66] store_detail_zh_com_gaojiasheng_zombiefire_theme_polar_aurora_scroll10000: 2.311s exit=0 issues=[]
[57/66] store_detail_zh_com_gaojiasheng_zombiefire_theme_gilded_eclipse_scroll0: 2.35s exit=0 issues=[]
[58/66] store_detail_zh_com_gaojiasheng_zombiefire_theme_gilded_eclipse_scroll10000: 2.358s exit=0 issues=[]
[59/66] store_detail_en_com_gaojiasheng_zombiefire_theme_neon_tempest_scroll0: 2.393s exit=0 issues=[]
[60/66] store_detail_en_com_gaojiasheng_zombiefire_theme_neon_tempest_scroll10000: 2.407s exit=0 issues=[]
[61/66] store_detail_en_com_gaojiasheng_zombiefire_theme_infernal_dominion_scroll0: 2.374s exit=0 issues=[]
[62/66] store_detail_en_com_gaojiasheng_zombiefire_theme_infernal_dominion_scroll10000: 2.439s exit=0 issues=[]
[63/66] store_detail_en_com_gaojiasheng_zombiefire_theme_polar_aurora_scroll0: 2.386s exit=0 issues=[]
[64/66] store_detail_en_com_gaojiasheng_zombiefire_theme_polar_aurora_scroll10000: 2.442s exit=0 issues=[]
[65/66] store_detail_en_com_gaojiasheng_zombiefire_theme_gilded_eclipse_scroll0: 2.421s exit=0 issues=[]
[66/66] store_detail_en_com_gaojiasheng_zombiefire_theme_gilded_eclipse_scroll10000: 2.387s exit=0 issues=[]
