Plan: 84 unique captures; HEAD=a80b2820ea932166ab0ce526f835f830f9825772
[5/84] default_weapon_scattergun_fire_1080x1920: 2.489s exit=0 issues=[]
[6/84] default_weapon_scattergun_idle_1080x1920: 2.508s exit=0 issues=[]
[7/84] gilded_eclipse_weapon_scattergun_fire_1080x1920: 2.574s exit=0 issues=[]
[8/84] gilded_eclipse_weapon_scattergun_idle_1080x1920: 2.513s exit=0 issues=[]
[9/84] infernal_dominion_weapon_scattergun_fire_1080x1920: 2.538s exit=0 issues=[]
[10/84] infernal_dominion_weapon_scattergun_idle_1080x1920: 2.516s exit=0 issues=[]
[11/84] neon_tempest_weapon_scattergun_fire_1080x1920: 2.546s exit=0 issues=[]
[12/84] neon_tempest_weapon_scattergun_idle_1080x1920: 2.585s exit=0 issues=[]
[13/84] polar_aurora_weapon_scattergun_fire_1080x1920: 2.531s exit=0 issues=[]
[14/84] polar_aurora_weapon_scattergun_idle_1080x1920: 2.51s exit=0 issues=[]
[15/84] default_weapon_autocannon_fire_1080x1920: 2.535s exit=0 issues=[]
[16/84] default_weapon_autocannon_idle_1080x1920: 2.506s exit=0 issues=[]
[17/84] default_weapon_cryocannon_fire_1080x1920: 2.581s exit=0 issues=[]
[18/84] default_weapon_cryocannon_idle_1080x1920: 2.492s exit=0 issues=[]
[19/84] default_weapon_flamethrower_fire_1080x1920: 2.529s exit=0 issues=[]
[20/84] default_weapon_flamethrower_idle_1080x1920: 2.522s exit=0 issues=[]
[21/84] default_weapon_plasmacannon_fire_1080x1920: 2.442s exit=0 issues=[]
[22/84] default_weapon_plasmacannon_idle_1080x1920: 2.498s exit=0 issues=[]
[23/84] default_weapon_railgun_fire_1080x1920: 2.517s exit=0 issues=[]
[24/84] default_weapon_railgun_idle_1080x1920: 2.516s exit=0 issues=[]
[25/84] default_weapon_teslacoil_fire_1080x1920: 2.495s exit=0 issues=[]
[26/84] default_weapon_teslacoil_idle_1080x1920: 2.561s exit=0 issues=[]
[27/84] default_weapon_venomlauncher_fire_1080x1920: 2.542s exit=0 issues=[]
[28/84] default_weapon_venomlauncher_idle_1080x1920: 2.544s exit=0 issues=[]
